provider,dataset,mode,run_id,tag,n_questions,accuracy,correct,total,avg_llm_calls,total_input_tokens,total_output_tokens,detail_status,detail_rows,missing_pred,error_rows,long_rows,fallback_rows,missing_oracle_rows,detail_log
groq-llama70b,barexam,golden_passage,20260515_210741_golden_passage_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5,local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5,1195,0.7916,946,1195,1.0,610383,521010,clean,1195,0,0,0,0,0,logs/eval_golden_passage_groq-llama70b_20260515_210741_barexam_local-snap-hyre-groq-llama70b-barexam-golden_passage-nfull-k5_detail.jsonl
groq-llama70b,barexam,golden_plus_neighbors,20260515_202827_golden_plus_neighbors_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5,local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5,1195,0.7782,930,1195,1.0,1755141,517455,clean,1195,0,0,0,0,0,logs/eval_golden_plus_neighbors_groq-llama70b_20260515_202827_barexam_local-snap-hyre-groq-llama70b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
groq-llama70b,barexam,llm_only,20260515_191548_llm_only_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5,local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5,1195,0.7866,940,1195,1.0,363438,448074,clean,1195,0,0,0,0,0,logs/eval_llm_only_groq-llama70b_20260515_191548_barexam_local-snap-hyre-groq-llama70b-barexam-llm_only-nfull-k5_detail.jsonl
groq-llama70b,barexam,rag_hyde,20260515_222654_rag_hyde_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5,local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5,1195,0.8017,958,1195,1.0,1589616,512597,clean,1195,0,0,0,0,0,logs/eval_rag_hyde_groq-llama70b_20260515_222654_barexam_local-snap-hyre-groq-llama70b-barexam-rag_hyde-nfull-k5_detail.jsonl
groq-llama70b,barexam,rag_rewrite,20260515_234357_rag_rewrite_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5,local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5,1195,0.7724,923,1195,2.0,2262328,590922,clean,1195,0,0,0,0,0,logs/eval_rag_rewrite_groq-llama70b_20260515_234357_barexam_local-snap-hyre-groq-llama70b-barexam-rag_rewrite-nfull-k5_detail.jsonl
groq-llama70b,barexam,rag_simple,20260515_194919_rag_simple_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5,local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5,1195,0.7456,891,1195,1.0,1298384,522895,clean,1195,0,0,0,0,0,logs/eval_rag_simple_groq-llama70b_20260515_194919_barexam_local-snap-hyre-groq-llama70b-barexam-rag_simple-nfull-k5_detail.jsonl
groq-llama70b,barexam,snap_hyre,20260515_230504_snap_hyre_groq-llama70b_local-snap-hyre-groq-llama70b-barexam-snap_hyre-nfull-k5,local-snap-hyre-groq-llama70b-barexam-snap_hyre-nfull-k5,1195,0.7975,953,1195,1.0,1554422,513827,clean,1195,0,0,0,0,0,logs/eval_snap_hyre_groq-llama70b_20260515_230504_barexam_local-snap-hyre-groq-llama70b-barexam-snap_hyre-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,golden_passage,20260516_200935_golden_passage_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5,1195,0.7858,939,1195,1.0,611086,765707,clean,1195,0,0,0,0,0,logs/eval_golden_passage_or-gemma4-26b_20260516_200935_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_passage-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,golden_plus_neighbors,20260516_233647_golden_plus_neighbors_or-gemma4-26b_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5,local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5,1195,0.8067,964,1195,1.0,1757047,779558,clean,1195,0,0,0,0,0,logs/eval_golden_plus_neighbors_or-gemma4-26b_20260516_233647_barexam_local-snap-hyre-or-gemma4-26b-barexam-golden_plus_neighbors-nfull-k5_detail.jsonl
or-gemma4-26b,barexam,llm_only,20260516_merged_llm_only_or-gemma4-26b_barexam_nfull_k5_cloudflare_tail,local-snap-hyre-or-gemma4-26b-barexam-llm_only-nfull-k5; merged-clean-prefix-plus-cloudflare-tail,1195,0.8084,966,1195,1.0025,363699,698682,clean,1195,0,0,0,0,0,logs/merged/eval_llm_only_or-gemma4-26b_cloudflare_tail_20260516_barexam_nfull_k5_detail.jsonl
